,FacilityName,CountryName,ReportingYear,FacilityDetails,MTonnes,Activity,Pollutant,Co-ordinates
0,Draugen,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=191961,0.194,Extraction of natural gas,"CO2, AIR","[7.780844, 64.3529358]"
1,Gassco Kårstø,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=192144,1.21,Extraction of natural gas,"CO2, AIR","[5.512849, 59.27473]"
2,Gjøa,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=192618,0.114,Extraction of natural gas,"CO2, AIR","[3.895116, 61.3318863]"
3,Golden Eye Module,United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14456,0.341,Extraction of natural gas,"CO2, AIR","[-1.84165, 57.5803]"
4,Hammerfest LNG,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=192426,0.997,Extraction of natural gas,"CO2, AIR","[23.602005, 70.69107]"
5,Heimdal,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=191967,0.151,Extraction of natural gas,"CO2, AIR","[2.227158, 59.5735626]"
6,Kristin,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=191975,0.314,Extraction of natural gas,"CO2, AIR","[6.549454, 64.99371]"
7,Kvitebjørn,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=191983,0.20600000000000002,Extraction of natural gas,"CO2, AIR","[2.497937, 61.07978]"
8,MOL Nyrt,Hungary,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=39834,0.122,Extraction of natural gas,"CO2, AIR","[20.195426, 46.301205]"
9,OMV Austria Exploration u. Production,Austria,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=65065,0.19,Extraction of natural gas,"CO2, AIR","[16.547028, 48.284]"
10,Objekti prerade plina Molve,Croatia,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=254127,0.317,Extraction of natural gas,"CO2, AIR","[17.001421, 46.108253]"
11,"Perenco UK Limited, Dimlington Gas Terminal",United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=32473,0.15,Extraction of natural gas,"CO2, AIR","[0.11369499999999999, 53.6602]"
12,Sleipner Vest,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=191970,0.29,Extraction of natural gas,"CO2, AIR","[1.7163140000000001, 58.417244]"
13,Sleipner Øst,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=192000,0.47400000000000003,Extraction of natural gas,"CO2, AIR","[1.9070300000000002, 58.36666]"
14,Veslefrikk,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=191982,0.14,Extraction of natural gas,"CO2, AIR","[2.89612, 60.78217]"
15,"Akcinė bendrovė ""ORLEN Lietuva""",Lithuania,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=18,1.71,Manufacture of refined petroleum products,"CO2, AIR","[22.914165, 56.312821]"
16,Api raffineria di ancona S.p.A.,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6056,0.914,Manufacture of refined petroleum products,"CO2, AIR","[13.374444, 43.622222]"
17,BAYERNOIL Betriebsteil Ingolstadt,Germany,2008,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=45700,0.331,Manufacture of refined petroleum products,"CO2, AIR","[11.4805964407772, 48.7524965486964]"
18,BAYERNOIL Betriebsteil Neustadt,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=57014,1.17,Manufacture of refined petroleum products,"CO2, AIR","[11.757976611622, 48.784993229719]"
19,BAYERNOIL Betriebsteil Vohburg,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=56969,0.659,Manufacture of refined petroleum products,"CO2, AIR","[11.5988557118451, 48.765795692349]"
20,BP Europa SE BP Lingen,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=43600,1.02,Manufacture of refined petroleum products,"CO2, AIR","[7.31181464088802, 52.5618542808937]"
21,BP OIL ESPAÑA S.A.U. REFINERIA DE CASTELLÓN,Spain,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=10573,1.02,Manufacture of refined petroleum products,"CO2, AIR","[0.014574, 39.976742]"
22,BP Raffinaderij Rotterdam B.V.,Netherlands,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5729,2.07,Manufacture of refined petroleum products,"CO2, AIR","[4.1078, 51.94499]"
23,"Conocophillips Ltd, Humber Oil Refinery",United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=13816,2.13,Manufacture of refined petroleum products,"CO2, AIR","[-0.24406399999999998, 53.6317]"
24,ESSO ITALIANA RAFFINERIA DI AUGUSTA,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7365,2.04,Manufacture of refined petroleum products,"CO2, AIR","[15.190555, 37.221666]"
25,ESSO RAFFINADERIJ,Belgium,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14731,1.88,Manufacture of refined petroleum products,"CO2, AIR","[4.338689, 51.25771]"
26,"Eesti Energia Õlitööstus AS, Auvere põlevkiviõlitehas",Estonia,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5953,0.8150000000000001,Manufacture of refined petroleum products,"CO2, AIR","[27.895654, 59.273229]"
27,Eni S.p.A. Raffineria di Livorno,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5157,0.366,Manufacture of refined petroleum products,"CO2, AIR","[10.341388, 43.588055]"
28,Equinor Refining Denmark A/S,Denmark,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=10286,0.544,Manufacture of refined petroleum products,"CO2, AIR","[11.097034104648, 55.6542359034009]"
29,Equinor avd. Mongstad raffineri,Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=192232,2.36,Manufacture of refined petroleum products,"CO2, AIR","[5.033256, 60.8149376]"
30,Esso Nederland BV (Raffinaderij Rotterdam),Netherlands,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5732,2.54,Manufacture of refined petroleum products,"CO2, AIR","[4.29626, 51.87221]"
31,"Esso Norge, Slagentangen",Norway,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=192073,0.33,Manufacture of refined petroleum products,"CO2, AIR","[10.5136118, 59.3211441]"
32,"Esso Petroleum Company Ltd, Fawley Refinery",United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=13013,3.11,Manufacture of refined petroleum products,"CO2, AIR","[-1.37656, 50.8339]"
33,"Esso Petroleum Company Ltd, Fawley Refinery Cogen Plant",United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=13262,0.164,Manufacture of refined petroleum products,"CO2, AIR","[-1.37656, 50.8339]"
34,"Flotta Terminal, Orkney",United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14465,0.14400000000000002,Manufacture of refined petroleum products,"CO2, AIR","[-3.11158, 58.8403]"
35,Grupa LOTOS S.A.,Poland,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6220,1.72,Manufacture of refined petroleum products,"CO2, AIR","[18.732, 54.345]"
36,Gunvor Petroleum Rotterdam B.V. (GPR),Netherlands,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5730,0.435,Manufacture of refined petroleum products,"CO2, AIR","[4.16573, 51.93494]"
37,Gunvor Raffinerie Ingolstadt GmbH,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=45738,0.632,Manufacture of refined petroleum products,"CO2, AIR","[11.4773151583894, 48.7919923414074]"
38,HELLENIC PETROLEUM S.A. - INDUSTRIAL DIVISION OF ASPROPYRGOS,Greece,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14290,1.32,Manufacture of refined petroleum products,"CO2, AIR","[23.602761, 38.032359]"
39,HELLENIC PETROLEUM S.A. - THESSALONIKI INDUSTRIAL COMPLEX,Greece,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14232,0.309,Manufacture of refined petroleum products,"CO2, AIR","[22.872191, 40.678617]"
40,HELLENIC PETROLEUM S.A. –SOUTH REFINERIES COMPLEX – ELEFSIS INDUSTRIAL FACILITIES,Greece,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14291,1.69,Manufacture of refined petroleum products,"CO2, AIR","[23.510833, 38.042222]"
41,Holborn Europa Raffinerie GmbH,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=43203,0.765,Manufacture of refined petroleum products,"CO2, AIR","[9.95158189424644, 53.4770858624131]"
42,INDEPENDENT BELGIAN REFINERY,Belgium,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14758,0.423,Manufacture of refined petroleum products,"CO2, AIR","[4.2781467, 51.340908]"
43,INEOS Chemicals Grangemouth Ltd,United Kingdom,2012,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=176159,0.888,Manufacture of refined petroleum products,"CO2, AIR","[-3.6859, 56.0071]"
44,INEOS Chemicals Grangemouth Ltd,United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=200487,0.496,Manufacture of refined petroleum products,"CO2, AIR","[-3.6855700000000002, 56.0201]"
45,INEOS Infrastructure (Grangemouth) Ltd,United Kingdom,2012,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=176527,0.592,Manufacture of refined petroleum products,"CO2, AIR","[-3.69084, 56.014]"
46,INEOS Infrastructure (Grangemouth) Ltd,United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=200488,0.457,Manufacture of refined petroleum products,"CO2, AIR","[-3.6855700000000002, 56.0201]"
47,INEOS Manufacturing Scotland Ltd,United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14524,1.6400000000000001,Manufacture of refined petroleum products,"CO2, AIR","[-3.6855700000000002, 56.0201]"
48,ISAB s.r.l.,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7364,0.491,Manufacture of refined petroleum products,"CO2, AIR","[15.1825, 37.179166]"
49,Iplom S.p.A. - Raffineria di Busalla,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=4866,0.274,Manufacture of refined petroleum products,"CO2, AIR","[8.946666, 44.575277]"
50,Irving Oil Whitegate Refinery Limited,Ireland,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7964,0.311,Manufacture of refined petroleum products,"CO2, AIR","[-8.24725, 51.8201]"
51,Lindsey Oil Refinery,United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=86181,1.49,Manufacture of refined petroleum products,"CO2, AIR","[-0.257035, 53.6399]"
52,"Lukoyl Neftohim Burgas AD, gr Burgas",Bulgaria,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=15833,1.77,Manufacture of refined petroleum products,"CO2, AIR","[27.336508, 42.54544]"
53,MIRO-Mineralölraffinerie Oberrhein GmbH & Co.KG,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=2466,2.05,Manufacture of refined petroleum products,"CO2, AIR","[8.32904999188603, 49.0578092936465]"
54,MIRO-Mineralölraffinerie Oberrhein GmbH & Co.KG,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=2467,0.788,Manufacture of refined petroleum products,"CO2, AIR","[8.34639162171066, 49.0568383296031]"
55,MOL Magyar Olaj- és Gázipari Nyrt.,Hungary,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=561,1.52,Manufacture of refined petroleum products,"CO2, AIR","[18.896743, 47.288829]"
56,MOTOR OIL (HELLAS) - CORINTHOS REFINERIES S.A.,Greece,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14201,2.16,Manufacture of refined petroleum products,"CO2, AIR","[23.072511, 37.921343]"
57,"NYNAS AB, Oljeraffinaderiet i Nynäshamn",Sweden,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=196,0.147,Manufacture of refined petroleum products,"CO2, AIR","[17.95937255, 58.91656416]"
58,"Neste Oyj, Naantalin Jalostamo",Finland,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7150,0.363,Manufacture of refined petroleum products,"CO2, AIR","[22.06781, 60.45368]"
59,"Neste Oyj, Porvoon jalostamo",Finland,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7303,2.77,Manufacture of refined petroleum products,"CO2, AIR","[25.52595, 60.31311]"
60,Nynas GmbH & Co. KG Raffinerie Harburg,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=54392,0.16,Manufacture of refined petroleum products,"CO2, AIR","[9.97024203411488, 53.4865900821362]"
61,OMV PETROM SA - Petrobrazi,Romania,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=167375,0.996,Manufacture of refined petroleum products,"CO2, AIR","[26.019444, 44.863889]"
62,OMV Refining and Marketing GmbH,Austria,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5858,2.74,Manufacture of refined petroleum products,"CO2, AIR","[16.493889, 48.144722]"
63,OMV Werk Burghausen,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=45731,1.11,Manufacture of refined petroleum products,"CO2, AIR","[12.8324911384319, 48.1949765667036]"
64,PCK Raffinerie GmbH Schwedt,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=74350,3.85,Manufacture of refined petroleum products,"CO2, AIR","[14.2381215333281, 53.0875852913882]"
65,"PETROLEOS DEL NORTE, PETRONOR, S.A. (PETRONOR)",Spain,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=9118,2.21,Manufacture of refined petroleum products,"CO2, AIR","[-3.110944, 43.325743]"
66,Pembroke Refinery,United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=31526,2.23,Manufacture of refined petroleum products,"CO2, AIR","[-5.02787, 51.6867]"
67,Petrogal-Refinaria do Porto,Portugal,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5452,0.973,Manufacture of refined petroleum products,"CO2, AIR","[-8.71059, 41.2019]"
68,Petroineos Manufacturing France SAS,France,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=4290,1.4,Manufacture of refined petroleum products,"CO2, AIR","[5.04, 43.38]"
69,Petroplus Raffinage Petit-Couronne SAS,France,2012,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=1153,0.653,Manufacture of refined petroleum products,"CO2, AIR","[1.03, 49.38]"
70,Petroplus Raffinage Reichstett,France,2011,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=4494,0.17200000000000001,Manufacture of refined petroleum products,"CO2, AIR","[7.71, 48.64]"
71,Plateforme de Donges,France,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=4145,1.28,Manufacture of refined petroleum products,"CO2, AIR","[-2.07, 47.33]"
72,Polski Koncern Naftowy ORLEN S.A.,Poland,2012,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=20177,6.11,Manufacture of refined petroleum products,"CO2, AIR","[19.67325, 52.586167]"
73,Preem  AB Preemraff Göteborg,Sweden,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6797,0.461,Manufacture of refined petroleum products,"CO2, AIR","[11.8237557, 57.71064011]"
74,"Preemraff, Lysekil",Sweden,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6808,1.58,Manufacture of refined petroleum products,"CO2, AIR","[11.42309229, 58.34675159]"
75,RAFFINERIA DI SANNAZZARO DE BURGONDI,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=412,2.26,Manufacture of refined petroleum products,"CO2, AIR","[8.891388, 45.099444]"
76,RAFFINERIA DI TARANTO,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7018,0.751,Manufacture of refined petroleum products,"CO2, AIR","[17.185, 40.484444]"
77,RAFFINERIA SARPOM DI TRECATE,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=103,1.03,Manufacture of refined petroleum products,"CO2, AIR","[8.789166, 45.437777]"
78,RAFFINERIE DE BERRE,France,2012,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=4267,0.112,Manufacture of refined petroleum products,"CO2, AIR","[5.16, 43.5]"
79,RAFFINERIE DE NORMANDIE,France,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=1133,3.01,Manufacture of refined petroleum products,"CO2, AIR","[0.19, 49.51]"
80,REFINERÍA GIBRALTAR,Spain,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6790,1.55,Manufacture of refined petroleum products,"CO2, AIR","[-5.39647, 36.185634]"
81,REFINERÍA LA RÁBIDA,Spain,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6805,1.69,Manufacture of refined petroleum products,"CO2, AIR","[-6.894507, 37.184329]"
82,REPSOL PETROLEO S.A.,Spain,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6898,1.57,Manufacture of refined petroleum products,"CO2, AIR","[-4.0497, 38.672]"
83,"REPSOL PETRÓLEO, S.A. - C.I. CARTAGENA",Spain,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6900,2.41,Manufacture of refined petroleum products,"CO2, AIR","[-0.982184, 37.622214]"
84,REPSOL YPF COMPLEJO INDUSTRIAL A CORUÑA,Spain,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6896,1.1400000000000001,Manufacture of refined petroleum products,"CO2, AIR","[-8.446743, 43.353129]"
85,ROMONTA  Amsdorf,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=46982,0.463,Manufacture of refined petroleum products,"CO2, AIR","[11.7179066686174, 51.4616142967967]"
86,Raffineria ISAB Impianti SUD,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7363,1.6,Manufacture of refined petroleum products,"CO2, AIR","[15.219444, 37.135555]"
87,Raffineria di Cremona,Italy,2011,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=429,0.151,Manufacture of refined petroleum products,"CO2, AIR","[9.967778, 45.1325]"
88,Raffineria di Milazzo S.C.p.A.,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7350,2.04,Manufacture of refined petroleum products,"CO2, AIR","[15.266666, 38.2]"
89,Raffineria di Venezia,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=626,0.318,Manufacture of refined petroleum products,"CO2, AIR","[12.268611, 45.460555]"
90,Raffinerie ESSO,France,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=4271,0.654,Manufacture of refined petroleum products,"CO2, AIR","[4.9, 43.45]"
91,Raffinerie Heide GmbH,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=43110,0.985,Manufacture of refined petroleum products,"CO2, AIR","[9.07977443187904, 54.1608312087666]"
92,Raffinerie de Feyzin,France,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=3057,1.1,Manufacture of refined petroleum products,"CO2, AIR","[4.85, 45.67]"
93,Raffinerie de GRANDPUITS,France,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=4312,0.667,Manufacture of refined petroleum products,"CO2, AIR","[2.88, 48.59]"
94,Raffinerie de Port-Jérôme / Gravenchon,France,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=1147,1.98,Manufacture of refined petroleum products,"CO2, AIR","[0.5700000000000001, 49.48]"
95,Rafinerija nafte Rijeka,Croatia,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=240417,0.983,Manufacture of refined petroleum products,"CO2, AIR","[14.5342, 45.285427]"
96,Rafinerija nafte Sisak,Croatia,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=240384,0.361,Manufacture of refined petroleum products,"CO2, AIR","[16.382874, 45.46583]"
97,Rafinérie Kralupy nad Vltavou,Czech Republic,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=11123,0.536,Manufacture of refined petroleum products,"CO2, AIR","[14.32869175, 50.25840943055555]"
98,Rafinérie Litvínov,Czech Republic,2015,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=11124,0.41300000000000003,Manufacture of refined petroleum products,"CO2, AIR","[13.60565515, 50.5623143]"
99,Refinaria de Sines,Portugal,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5453,2.6,Manufacture of refined petroleum products,"CO2, AIR","[-8.80014, 37.9639]"
100,Ruhr Oel GmbH Werk Horst,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=44246,1.12,Manufacture of refined petroleum products,"CO2, AIR","[7.03720284379517, 51.5396069504629]"
101,Ruhr Oel GmbH Werk Scholven,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=74041,3.32,Manufacture of refined petroleum products,"CO2, AIR","[7.02890850572055, 51.5960327512966]"
102,SARA RAFFINERIE,France,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7834,0.133,Manufacture of refined petroleum products,"CO2, AIR","[-60.991805076, 14.6268612322]"
103,SC PETROTEL LUKOIL SA,Romania,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=167374,0.389,Manufacture of refined petroleum products,"CO2, AIR","[26.0777777, 44.94722111]"
104,SC ROMPETROL RAFINARE SA - punct de lucru Rompetrol Rafinare - Navodari,Romania,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=167336,0.981,Manufacture of refined petroleum products,"CO2, AIR","[28.6497388, 44.34132222]"
105,"SLOVNAFT, a.s.",Slovakia,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=9119,2.2,Manufacture of refined petroleum products,"CO2, AIR","[17.18056, 48.119024]"
106,SRD - Société de la Raffinerie de Dunkerque,France,2015,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=4711,0.393,Manufacture of refined petroleum products,"CO2, AIR","[2.36, 51.03]"
107,Sarlux Srl,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7506,6.37,Manufacture of refined petroleum products,"CO2, AIR","[9.018888, 39.077777]"
108,Shell Deutschland Oil GmbH Rheinland Raffinerie Werk Nord,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=44060,1.42,Manufacture of refined petroleum products,"CO2, AIR","[6.9768455364430295, 50.8549933741484]"
109,"Shell Deutschland Oil GmbH Rheinland Raffinerie, Werk Süd",Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=44061,2.18,Manufacture of refined petroleum products,"CO2, AIR","[7.00575627868132, 50.8141104234868]"
110,Shell Nederland Raffinaderij BV,Netherlands,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5728,3.83,Manufacture of refined petroleum products,"CO2, AIR","[4.33533, 51.88013]"
111,St1 Refinery AB,Sweden,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=6800,0.522,Manufacture of refined petroleum products,"CO2, AIR","[11.8795847, 57.7015739]"
112,Stanlow Manufacturing Complex,United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=31661,2.14,Manufacture of refined petroleum products,"CO2, AIR","[-2.8412100000000002, 53.2735]"
113,TOTAL RAFFINADERIJ ANTWERPEN,Belgium,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=14847,3.68,Manufacture of refined petroleum products,"CO2, AIR","[4.3216605, 51.26745]"
114,TOTAL Raffinerie Mitteldeutschland GmbH (POX/Methanol),Germany,2008,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=73640,0.8260000000000001,Manufacture of refined petroleum products,"CO2, AIR","[12.0149750371508, 51.2962933440763]"
115,TOTAL Raffinerie Mitteldeutschland GmbH (Raffinerie/POX),Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=73639,1.78,Manufacture of refined petroleum products,"CO2, AIR","[12.0001179708506, 51.2876432105941]"
116,Tamoil SA Raffinerie de Collombey,Switzerland,2015,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=85873,0.139,Manufacture of refined petroleum products,"CO2, AIR","[6.95205175624681, 46.2861671146413]"
117,Teesside Crude Oil Stabalisation Terminal,United Kingdom,2013,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=13819,0.28800000000000003,Manufacture of refined petroleum products,"CO2, AIR","[-1.17299, 54.62]"
118,Teesside Crude Oil Stabalisation Terminal,United Kingdom,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=210893,0.312,Manufacture of refined petroleum products,"CO2, AIR","[-1.17299, 54.62]"
119,"VKG OIL AS, Kohtla-Järve Petroter põlevkiviõlitehas",Estonia,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=175198,0.594,Manufacture of refined petroleum products,"CO2, AIR","[27.238024, 59.386708]"
120,Varo Refining Cressier SA / Raffinerie de Cressier,Switzerland,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=85714,0.383,Manufacture of refined petroleum products,"CO2, AIR","[7.03579498804884, 47.0400378172895]"
121,Zeeland Refinery N.V.,Netherlands,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=10003,1.6,Manufacture of refined petroleum products,"CO2, AIR","[3.72704, 51.44562]"
122,ALUMINA ESPAÑOLA S.A.,Spain,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=7439,0.647,Manufacture of other inorganic basic chemicals,"CO2, AIR","[-7.454929, 43.697515]"
123,Akzo Nobel Chemicals BV (Hengelo),Netherlands,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=10586,0.298,Manufacture of other inorganic basic chemicals,"CO2, AIR","[6.79425, 52.24674]"
124,Aluminium Oxid Stade GmbH,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=43348,0.404,Manufacture of other inorganic basic chemicals,"CO2, AIR","[9.49793644325882, 53.6442938587031]"
125,CABOT CARBONE SAS,France,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=1132,0.196,Manufacture of other inorganic basic chemicals,"CO2, AIR","[0.53, 49.5]"
126,CIECH Soda Deutschland GmbH & Co. KG,Germany,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=46947,0.155,Manufacture of other inorganic basic chemicals,"CO2, AIR","[11.564549152355, 51.8897185010909]"
127,COLUMBIAN CARBON SPAIN S.L.,Spain,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=8929,0.108,Manufacture of other inorganic basic chemicals,"CO2, AIR","[-3.780037, 43.413535]"
128,Cabot BV,Netherlands,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=37170,0.24,Manufacture of other inorganic basic chemicals,"CO2, AIR","[4.26431, 51.89141]"
129,Cabot Italiana SpA,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5049,0.212,Manufacture of other inorganic basic chemicals,"CO2, AIR","[12.25, 44.45]"
130,Columbian Carbon Europa S.r.l.,Italy,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=99,0.111,Manufacture of other inorganic basic chemicals,"CO2, AIR","[8.741662999999999, 45.433386]"
131,Columbian Tiszai Koromgyártó Kft.,Hungary,2017,http://prtr.ec.europa.eu/#/facilitydetails?FacilityID=5936,0.193,Manufacture of other inorganic basic chemicals,"CO2, AIR","[21.022157, 47.916708]"
